id,neighbourhood_group,neighbourhood,latitude,longitude
2595,Manhattan,Midtown,40.75356,-73.98559
3831,Brooklyn,Bedford-Stuyvesant,40.68494,-73.95765
5121,Brooklyn,Bedford-Stuyvesant,40.68535,-73.95512
5136,Brooklyn,Sunset Park,40.66265,-73.99454
5178,Manhattan,Midtown,40.76457,-73.98317
5203,Manhattan,Upper West Side,40.8038,-73.96751
5803,Brooklyn,South Slope,40.66801,-73.98784
6848,Brooklyn,Williamsburg,40.70935,-73.95342
6872,Manhattan,East Harlem,40.80107,-73.94255
6990,Manhattan,East Harlem,40.78778,-73.94759
