id,comment_id,comments
3831,588410318,We had a nice stay with Lisa in Brooklyn. Especially here tips were helpful and completely on point. Communication in general was very good.
3831,589143289,"The location it’s fantastic. Even it’s an entire place for your own doesn’t feel like it because don’t have door with you neighbors. The upside it’s your neighbor is your host who happens to ve very kind. 
Could be a bit more clean."
3831,597434314,"Lisa Roxanne was a great host and very accomodating. If you're looking for a great place to touchdown in Brooklyn, this is it!"
3831,598086924,DO NOT  stay here if your expecting anything like the photo or any peace & quiet . This place was a total mess not up to ABNB standards at all. You can definitely find a better room for this price .
3831,601064768,"LisaRoxanne's place is conveniently located close to many subway stops, and walking distance to attractions such as the BAM, restaurants and parks. 
The accommodations are comfortable, great king size bed, and clean. LisaRoxanne was responsive and flexible. Thank you!"
3831,603827773,"We loved it at Lisa's place. It was spacious, clean, and in a great location! Would definitely stay again!"
3831,604784306,3 guys that went to see a hockey game at Barclay Center the place was fine
3831,605419893,Great location and spot! LisaRoxanne is so kind and quick responder.
3831,608756560,"Very easy to communicate with, easy check-in and very accurate pictures. Great stay!"
3831,610088241,"We had an amazing stay. Lisaroxanne was very kind and welcoming.
We were able to leave a little bit later than the checkout time because our bus was leaving in the afternoon. Thank you so much for everything."
3831,615829006,"The place and Lisa are amazing! Very comfortable to stay and close to metro stations. The best host we’ve ever had, she even recomended places to go and everything was perfect. We had all we need at the house! I will definitely come back! "
3831,618105421,Knew we were having a sleepover and got upset by the music and the people then just decided to cal the cops and refuses to give me a full refund
3831,622211881,Very clean space!
3831,622571895,Worst Airbnb and I felt uncomfortable and left. What’s in the picture is not what you going to get in person real talk.
3831,623159807,The place was very comfortable and clean. The host has great hospitality. the area is also nice and quiet The only issue I had is the lay out cause it wasn’t completely private like I thought it was by looking at the pics but other then that it was a good experience.
3831,624414254,This place is very comfortable and feels like home.  Definitely recommend anyone to book this place.  I most definitely will be again
3831,627009099,Good place to stay the night
3831,627460802,"Lisa was great and her space was perfect for a short visit. I had my pup with me and was able to bring her and keep her there without a problem when I left the house. Amenities were all there, and everything was clean. Had a good quick stay and the value is great. Thanks for everything!"
3831,628323141,Very good upstairs just it was stuffy that’s all
3831,629077633,Needed a bed in NYC for a night. This was perfect for exactly that.
3831,629701271,"It was great, clean and convenient."
3831,630399913,LisaRoxanne was an excellent host - she made sure we had everything we needed. Great neighborhood!
3831,631145536,Great airbnb for a nice stay within the city
3831,631858119,Simple but great place.
3831,632319520,i wouldnt recommend this bnb it states family lives down below but it should definitely be more cleaner if you going to have people walk through your home the fridge was disgusting cabinets full of old groceries and there should be no reason i have to clean to be able to cook pots where greasy and nasty if it wasnt for my daughter i wouldnt have cooked because it definitely messed up my appetite. step railing isnt secure very unsafe
3831,632983152,Not as shown.
3831,636881404,"It's in a great area - easily walk-able to many restaurants, subway stops, Fort Green Park etc. 
If you're planning a short stay and plan to be out a lot it's a great find - there are 3 young children in the house below and sound travels up so if you're looking to work or rest/read probably not the best. Lisa was nice and accommodating."
3831,638200284,LisaRoxanne got back to me with answers to my questions right away and was very accommodating. The place was very comfortable and she had the AC turned on for us before we got there which was great :) I would definitely recommend this spot and stay again someday.
3831,638447334,"I have encountered many efficient and considerate hosts via Airbnb, but none of them come close to LisaRoxanne. Not only was she incredibly understanding when I had to change my original reservation, when a family emergency forced me to leave her place only hours after my arrival, she refunded half my money purely out of her own generosity. I had not remotely expected her to do this and so was not only very grateful to her for her kindness, but also deeply touched. But even before I had arrived at her clean, comfortable and sunlit apartment, LisaRoxanne had responded rapidly and efficiently to my every question or request and had been completely straightforward, considerate and understanding. She was there waiting for me when I arrived, and her apartment's eat-in kitchen turned out to be larger than I expected, with a view out onto sunlit treetops, which was both beautiful and felt private. I will also add that LisaRoxanne has a subtle but spot-on sense of humor and that there is a feature in her apartment that will be much appreciated by any pandemic-weary visitor."
3831,638757201,"Re: any critical reviews on this place -- read the listing! I feel that the description is accurate. While you can hear people downstairs and the stairs lead directly up to your third floor, no one is walking through your space and your bedroom door does shut. For the price I would say this is a good find, good neighborhood! Would not bring a finicky neatfreak to stay here but for a quick stopover it suited our needs well. Family was pleasant. :)"
3831,639130377,Wonderful and courteous. Perfect location. Safe area. Suitable for couples or a family with small children. All around great host.
