ticker,date,volume,open,high,low,close
HOLX,1/2/2020,1557804,52.1,52.33,51.39,52.07
HOLX,1/3/2020,1626649,51.24,51.94,51.13,51.89
HOLX,1/6/2020,1833347,51.47,52.47,51.46,52.38
HOLX,1/7/2020,1551233,52.35,52.795,52.15,52.49
HOLX,1/8/2020,1928647,52.38,52.81,52.29,52.29
HOLX,1/9/2020,4027642,52.54,53.43,52.425,53.275
HOLX,1/10/2020,1152365,53.58,53.58,52.92,53.17
HOLX,1/13/2020,2837897,53.37,53.64,52.56,52.91
HOLX,1/14/2020,2239066,52.83,53.995,52.67,53.53
HOLX,1/15/2020,1367472,53.54,54.24,53.465,53.75
HOLX,1/16/2020,1779930,53.85,54.38,53.775,54.22
HOLX,1/17/2020,1714479,54.33,54.73,54.2,54.32
HOLX,1/21/2020,1216715,54.25,54.51,53.98,54.21
HOLX,1/22/2020,1517260,54.29,54.605,54.1,54.24
HOLX,1/23/2020,2253890,54.23,54.3,53.68,53.82
HOLX,1/24/2020,4022564,53.96,54.015,53.35,53.72
HOLX,1/27/2020,3238282,53.16,54.05,53.105,53.72
HOLX,1/28/2020,2027986,53.64,54.77,53.5,54.62
HOLX,1/29/2020,2415732,54.54,55.16,54.344,54.65
HOLX,1/30/2020,5036646,54.68,54.967,53.32,54.23
HOLX,1/31/2020,2505694,54.31,54.45,53.43,53.52
HOLX,2/3/2020,2989969,53.59,54.19,53.275,53.62
HOLX,2/4/2020,2108133,54.29,55.25,54.035,54.09
HOLX,2/5/2020,1832033,54.37,55.09,54.11,54.32
HOLX,2/6/2020,1495009,54.24,54.58,53.82,53.95
HOLX,2/7/2020,1802669,53.93,54.17,53.1,53.17
HOLX,2/10/2020,2652838,53.06,53.492,53.011,53.26
HOLX,2/11/2020,1348514,53.43,53.7,53.19,53.43
HOLX,2/12/2020,1541530,53.58,53.58,52.55,52.6
HOLX,2/13/2020,1268977,52.27,52.725,52.09,52.44
HOLX,2/14/2020,1197305,52.41,53.04,52.26,53.02
HOLX,2/18/2020,1475423,53.11,53.11,52.16,52.61
HOLX,2/19/2020,1114093,52.81,53.17,52.69,52.96
HOLX,2/20/2020,1807776,52.76,52.96,51.985,52.7
HOLX,2/21/2020,1106585,52.38,52.735,52.12,52.59
HOLX,2/24/2020,1200782,51.34,51.98,51.15,51.4
HOLX,2/25/2020,1825303,51.48,51.735,49.28,49.37
HOLX,2/26/2020,2368948,49.6,50.09,48.54,48.54
HOLX,2/27/2020,2007254,47.96,49.3,47.27,47.69
HOLX,2/28/2020,3241113,46.66,47.25,45.81,47.12
HOLX,3/2/2020,3047148,47.36,48.86,47.05,48.82
HOLX,3/3/2020,2703696,48.62,49.82,46.485,47.25
HOLX,3/4/2020,2710529,48.12,49.48,47.69,49.38
HOLX,3/5/2020,3396753,48.46,48.79,47.05,47.36
HOLX,3/6/2020,2889637,46.06,47.13,45.725,46.75
HOLX,3/9/2020,3865698,44.4,45.78,43.1,44.05
HOLX,3/10/2020,2840899,45.37,45.98,43.905,45.82
HOLX,3/11/2020,2681705,44.64,44.74,43.26,43.78
HOLX,3/12/2020,3547675,41.28,42.12,39.36,39.44
HOLX,3/13/2020,3988985,40.97,42.09,38.13,40.58
HOLX,3/16/2020,3371570,34.42,37.105,32.13,32.25
HOLX,3/17/2020,6121298,34.05,34.05,28.94,31.47
HOLX,3/18/2020,6431435,33.2,33.99,26.49,29.62
HOLX,3/19/2020,5303657,29.64,32.83,28.71,31.95
HOLX,3/20/2020,4716889,32.01,32.85,30.12,31.05
HOLX,3/23/2020,3390415,31.04,31.15,29.09,29.38
HOLX,3/24/2020,3739443,30.82,31.77,30.23,31.44
HOLX,3/25/2020,4277003,30.403,33.2,30.403,32.26
HOLX,3/26/2020,4351342,32.85,34.26,32.5,34.02
HOLX,3/27/2020,2902590,32.77,34.09,32.46,33.26
HOLX,3/30/2020,3913554,33,35.36,32.703,35
HOLX,3/31/2020,4344893,34.75,35.392,34.39,35.1
HOLX,4/1/2020,3154100,33.74,34.34,32.55,32.7
HOLX,4/2/2020,2567502,32.14,34.24,32.001,34.06
HOLX,4/3/2020,2053999,33.91,34.34,32.55,32.82
HOLX,4/6/2020,2703907,34.08,36.32,34.04,35.86
HOLX,4/7/2020,3732595,38.02,38.89,37.377,37.77
HOLX,4/8/2020,2180381,37.31,39.66,37.261,39.38
HOLX,4/9/2020,3091393,40.17,41.67,40.01,41.11
HOLX,4/13/2020,4725065,40.76,41.07,39.79,40.96
HOLX,4/14/2020,2766325,41.11,42.66,41.04,42.01
HOLX,4/15/2020,2043503,40.84,41.64,40.65,41.33
HOLX,4/16/2020,2680192,41.48,42,41.11,41.46
HOLX,4/17/2020,2234022,42.66,43.79,42.42,43.79
HOLX,4/20/2020,2993820,42.98,44.32,42.52,43.24
HOLX,4/21/2020,2822935,41.68,43.26,41.03,42.35
HOLX,4/22/2020,2891854,42.89,43.19,42.4,42.88
HOLX,4/23/2020,4665504,43.68,46.34,43.08,45.38
HOLX,4/24/2020,3087778,45.9,47.46,45.81,47.11
HOLX,4/27/2020,2737747,47.87,49.9,47.51,49.51
HOLX,4/28/2020,3952355,49.98,50.5,48.4,48.685
HOLX,4/29/2020,3854414,49.52,50.055,48.47,48.95
HOLX,4/30/2020,9441315,53.43,53.45,49.22,50.1
HOLX,5/1/2020,3200084,49.05,49.69,48.39,49.4
HOLX,5/4/2020,2906070,49.47,50.26,48.95,49.93
HOLX,5/5/2020,2790204,50.56,51.43,50.085,50.28
HOLX,5/6/2020,3507987,51.3,52.369,50.537,52.01
HOLX,5/7/2020,2727855,52.75,53.25,52.21,52.94
HOLX,5/8/2020,2155156,53.22,53.4,51.86,51.99
HOLX,5/11/2020,1868195,51.74,53,51.69,52.81
HOLX,5/12/2020,1664055,53.1,53.47,51.89,51.89
HOLX,5/13/2020,2344220,51.53,52.36,50.465,51.35
HOLX,5/14/2020,2127663,50.48,51.51,49.911,51.41
HOLX,5/15/2020,2303988,52.074,52.46,50.98,51.93
HOLX,5/18/2020,2165520,52.95,53.99,52.115,52.48
HOLX,5/19/2020,2120454,52.24,53.48,52.24,52.89
HOLX,5/20/2020,2684088,53.14,54.58,53.12,53.98
HOLX,5/21/2020,2661344,53.53,53.925,52.46,52.56
HOLX,5/22/2020,2012829,52.41,52.68,51.71,52.33
HOLX,5/26/2020,2252646,53.27,53.58,50.93,51.1
HOLX,5/27/2020,2895522,51.4,51.43,49.725,51.39
HOLX,5/28/2020,1909796,51.68,53.2,51.13,52.32
HOLX,5/29/2020,3636674,52.39,53.18,51.29,53
HOLX,6/1/2020,1259751,52.56,53.8,51.915,53.25
HOLX,6/2/2020,1427920,53.06,53.13,52.07,52.67
HOLX,6/3/2020,4163181,53.91,54.615,53.36,53.69
HOLX,6/4/2020,2110863,53.13,53.76,52,52.32
HOLX,6/5/2020,3527422,53.09,53.58,52.25,52.41
HOLX,6/8/2020,1425955,51.78,53.315,51.64,53.11
HOLX,6/9/2020,2265628,53.95,53.95,52.13,52.75
HOLX,6/10/2020,1511169,53.04,53.26,51.86,52.01
HOLX,6/11/2020,2716414,51.03,51.33,49.82,50.46
HOLX,6/12/2020,3133342,51.58,51.77,49.45,50.15
