ticker,date,volume,open,high,low,close
HOLX,9/5/2017,3132378,38.27,39.265,38.27,38.92
HOLX,9/6/2017,1718879,38.94,39.14,38.72,39.06
HOLX,9/7/2017,2066714,39.04,39.17,38.86,38.9
HOLX,9/8/2017,3423696,38.97,39.26,38.785,38.8
HOLX,9/11/2017,3326646,39.26,39.59,38.77,39.2
HOLX,9/12/2017,4420049,39.12,39.125,38.1,38.19
HOLX,9/13/2017,6978447,38.18,38.3,37.03,37.56
HOLX,9/14/2017,3561469,37.57,37.83,37.45,37.74
HOLX,9/15/2017,3344455,37.72,38.03,37.475,37.72
HOLX,9/18/2017,2276621,37.73,37.85,37.31,37.36
HOLX,9/19/2017,3127078,37.25,37.46,36.98,37.13
HOLX,9/20/2017,3965733,37.27,37.53,37.12,37.38
HOLX,9/21/2017,2306324,37.4,37.67,37.19,37.53
HOLX,9/22/2017,1935910,37.48,37.73,37.48,37.57
HOLX,9/25/2017,1951997,37.51,37.64,37.185,37.36
HOLX,9/26/2017,1400090,37.47,37.61,37.36,37.42
HOLX,9/27/2017,3279712,37.46,37.46,36.98,37.17
HOLX,9/28/2017,4144042,37.15,37.15,36.63,36.65
HOLX,9/29/2017,5125415,36.59,37.105,36.2,36.69
HOLX,10/2/2017,4157828,36.83,37.02,36.66,37.02
HOLX,10/3/2017,4134699,37.2,37.735,37.15,37.7
HOLX,10/4/2017,3329312,37.73,38.06,37.66,37.78
HOLX,10/5/2017,2628322,37.88,38.265,37.71,37.79
HOLX,10/6/2017,3022654,37.85,37.97,37.61,37.69
HOLX,10/9/2017,2677226,37.38,37.54,36.59,36.89
HOLX,10/10/2017,2428699,36.7,37.02,36.67,36.86
HOLX,10/11/2017,2746475,36.69,36.92,36.44,36.66
HOLX,10/12/2017,1751177,36.65,36.67,36.43,36.56
HOLX,10/13/2017,2590564,36.5,36.59,36.23,36.28
HOLX,10/16/2017,5243508,36.31,36.46,35.78,35.9
HOLX,10/17/2017,4381434,35.91,36.88,35.76,36.81
HOLX,10/18/2017,2647189,36.86,37.19,36.77,36.89
HOLX,10/19/2017,2029703,36.78,37.16,36.78,37.08
HOLX,10/20/2017,2340233,37.23,37.37,36.94,37.01
HOLX,10/23/2017,1653197,37.16,37.61,37.04,37.2
HOLX,10/24/2017,1810923,37.16,37.23,36.85,37.04
HOLX,10/25/2017,1742814,36.84,37.11,36.75,37.03
HOLX,10/26/2017,1978342,37.12,37.525,36.91,37.13
HOLX,10/27/2017,2953423,37.13,37.43,36.89,37.24
HOLX,10/30/2017,2666134,37.05,37.27,36.7,37.21
HOLX,10/31/2017,2933471,37.27,37.87,37.15,37.85
HOLX,11/1/2017,3508930,37.99,38.52,37.87,38.2
HOLX,11/2/2017,3227532,38.14,38.5,38,38.42
HOLX,11/3/2017,5262471,38.75,39.89,38.72,39.56
HOLX,11/6/2017,2687413,39.4,39.47,38.81,39.06
HOLX,11/7/2017,2970636,38.93,39.52,38.77,39.5
HOLX,11/8/2017,3775538,39.29,39.75,38.96,39.54
HOLX,11/9/2017,5799293,37.48,39.76,36.594,39.65
HOLX,11/10/2017,4908600,39.53,39.85,38.58,38.97
HOLX,11/13/2017,4259656,38.8,40.7,38.8,40.64
HOLX,11/14/2017,4083943,40.34,40.55,39.32,39.62
HOLX,11/15/2017,2598589,39.6,39.78,39.22,39.25
HOLX,11/16/2017,1472641,39.29,39.8,38.836,39.72
HOLX,11/17/2017,2092406,39.62,40.2,39.17,39.96
HOLX,11/20/2017,2200825,39.84,40.23,39.77,40.19
HOLX,11/21/2017,2693622,40.32,40.95,40.03,40.6
HOLX,11/22/2017,3276286,40.59,41.06,39.87,40.88
HOLX,11/24/2017,1036963,40.92,40.98,40.31,40.87
HOLX,11/27/2017,2098565,40.84,41.04,40.48,40.77
HOLX,11/28/2017,2311135,40.82,40.9,40.36,40.45
HOLX,11/29/2017,4855330,40.56,42.68,40.555,42.27
HOLX,11/30/2017,5542893,42.16,42.56,41.67,41.72
HOLX,12/1/2017,4392597,41.7,41.93,40.37,40.85
HOLX,12/4/2017,5889153,40.85,42.58,40.85,41.85
HOLX,12/5/2017,2221373,41.84,42.31,41.52,41.89
HOLX,12/6/2017,3069138,41.82,42.16,41.11,41.44
HOLX,12/7/2017,2166691,41.43,41.94,41.27,41.68
HOLX,12/8/2017,3666107,42.84,44,42.18,42.69
HOLX,12/11/2017,4438413,43.47,44.18,43.1,43.82
HOLX,12/12/2017,2950904,43.81,43.823,43.04,43.57
HOLX,12/13/2017,2885046,43.75,43.92,43.35,43.68
HOLX,12/14/2017,2346312,43.77,43.94,42.93,42.96
HOLX,12/15/2017,4541724,43.4,43.67,42.668,43.53
HOLX,12/18/2017,2264120,43.79,44.19,43.25,43.36
HOLX,12/19/2017,2161152,43.36,43.82,43.255,43.49
HOLX,12/20/2017,1797360,43.51,43.9,43.3,43.44
HOLX,12/21/2017,1358585,43.6,43.665,43.12,43.25
HOLX,12/22/2017,810235,43.24,43.49,43.13,43.37
HOLX,12/26/2017,509312,43.34,43.61,43.16,43.23
HOLX,12/27/2017,847743,43.39,43.45,43.14,43.23
HOLX,12/28/2017,1001703,43.34,43.37,42.95,43.3
HOLX,12/29/2017,1217868,43.5,43.5,42.68,42.75
HOLX,1/2/2018,2533922,42.75,43.35,42.61,42.87
HOLX,1/3/2018,1864591,43,43.8,42.755,43.49
HOLX,1/4/2018,2407747,44.35,44.85,43.72,43.77
HOLX,1/5/2018,1827403,43.87,44.21,43.75,43.98
HOLX,1/8/2018,2770143,43.92,44.56,43.49,44.42
HOLX,1/9/2018,2861998,44.6,45.09,44.075,44.22
HOLX,1/10/2018,4427109,44.22,44.43,42.78,43.56
HOLX,1/11/2018,2975971,43.68,43.72,43.05,43.55
HOLX,1/12/2018,3060034,43.68,43.9,43.32,43.71
HOLX,1/16/2018,4073323,43.92,44.25,43.58,43.75
HOLX,1/17/2018,2087071,44.04,44.08,43.51,44
HOLX,1/18/2018,2134697,43.91,44.1,43.42,43.85
HOLX,1/19/2018,4355482,43.2,43.57,42.55,43.46
HOLX,1/22/2018,2738656,43.53,43.595,42.83,43.24
HOLX,1/23/2018,1724317,43.15,43.42,42.8,42.95
HOLX,1/24/2018,2628886,43.1,43.48,42.71,42.9
HOLX,1/25/2018,2209949,43.09,43.33,42.65,42.9
HOLX,1/26/2018,1974642,42.8,43.45,42.69,43.38
HOLX,1/29/2018,2164245,43.3,43.84,43.3,43.75
HOLX,1/30/2018,3494470,43.7,43.84,42.56,43.13
HOLX,1/31/2018,2936822,43.23,43.43,42.47,42.7
HOLX,2/1/2018,2979824,42.5,43.06,42.19,42.58
HOLX,2/2/2018,1921760,42.31,42.6,42.01,42.04
HOLX,2/5/2018,3405814,42.07,42.33,40.29,40.3
HOLX,2/6/2018,2480853,39.76,40.86,39.35,40.39
HOLX,2/7/2018,2657711,40.15,40.78,40.14,40.45
