ticker;date;bvps;capex;cashnequsd;consolinc;de;equity;equityusd;fcf;ev;gp;liabilities;marketcap;pb;price;roe;payoutratio
HOLX;2019-03-30;8.022;-108700000;401000000;-10600000;2.021;2159800000;2159800000;595800000;16938034723;1333500000;4365500000;14099634723;6.528;48.4;-0.004;0.0
HOLX;2019-06-29;8.242;-114300000;427900000;-29600000;1.943;2216500000;2216500000;519900000;15602967627;1342300000;4305900000;12871767627;5.807;48.02;-0.013;0.0
HOLX;2019-09-28;7.853;-113600000;601800000;-203600000;2.045;2115700000;2115700000;535900000;15908155671;1170900000;4326400000;13261055671;6.268;49.61;-0.092;0.0
HOLX;2019-12-28;8.402;-122500000;370800000;83600000;1.801;2250800000;2250800000;536300000;16514293720;1170500000;4054200000;14040093720;6.238;52.36;0.038;0.0
HOLX;2020-03-28;7.925;-124800000;799800000;451000000;2.268;2086100000;2086100000;518200000;11478824919;1523900000;4730600000;8757424919;4.198;33.26;0.209;0.0
HOLX;2020-06-27;8.678;-129500000;744200000;493500000;2.015;2255100000;2255100000;572800000;16594967887;1545200000;4544500000;13819167887;6.128;53.52;0.228;0.0
HOLX;2020-09-26;10.297;-156400000;701000000;1110500000;1.659;2705200000;2705200000;740200000;19238000323;2227500000;4488500000;16665700323;6.161;64.35;0.48;0.0
HOLX;2020-12-26;12.637;-169700000;868700000;1378200000;1.31;3267900000;3267900000;1263000000;21573713998;2974100000;4281700000;19216613998;5.88;74.77;0.537;0.0
HOLX;2021-03-27;14.68;-190400000;816400000;1902800000;1.12;3794400000;3794400000;1676800000;20832028769;3664100000;4249000000;18917528769;4.986;73.42;0.635;0.0
HOLX;2021-06-26;15.131;-198800000;827600000;2034500000;1.216;3877100000;3877100000;2108200000;18840394149;3899600000;4713500000;16883194149;4.355;65.89;0.597;0.0
HOLX;2021-09-25;16.412;-162700000;1170300000;1869700000;1.114;4218600000;4218600000;2167700000;21700415511;3795800000;4701300000;19386715511;4.596;76.48;0.494;0.0
HOLX;2021-12-25;17.827;-153500000;1420800000;1715500000;1.055;4519100000;4519100000;2091100000;21019530667;3601800000;4766000000;19138130667;4.235;76.12;0.418;0.0
HOLX;2022-03-26;19.051;-154900000;2290800000;1551800000;0.985;4792700000;4792700000;2599700000;20683392022;3462600000;4721800000;19011292022;3.967;76.05;0.357;0.0
HOLX;2022-06-25;19.931;-137200000;2375300000;1512100000;0.872;4997900000;4997900000;2285300000;18490890500;3310800000;4359500000;17688590500;3.539;70.93;0.326;0.0
